time	PSA2
1980-01-01	0.35305006083437707
1980-02-01	1.3937404901809685
1980-03-01	1.0427570087648028
1980-04-01	-0.35037707736325713
1980-05-01	-0.976906524785217
1980-06-01	0.5836340235233611
1980-07-01	-1.4295568536530376
1980-08-01	-1.41527494177899
1980-09-01	0.9564542226613413
1980-10-01	-0.837784556909468
1980-11-01	1.6381272554278064
1980-12-01	0.11223301437527824
1981-01-01	-0.38182798917646976
1981-02-01	0.597459637118886
1981-03-01	-0.8899148705182606
1981-04-01	-0.3435704236111806
1981-05-01	1.0578886025387768
1981-06-01	-0.04994293110706106
1981-07-01	0.8413590981843247
1981-08-01	1.7233672153203003
1981-09-01	0.3135969904726326
1981-10-01	-1.4025330682892745
1981-11-01	0.5906200813976741
1981-12-01	-0.32217281903571254
1982-01-01	-0.4043201142597708
1982-02-01	0.12897900965261463
1982-03-01	0.8518014476856645
1982-04-01	0.9333061550129117
1982-05-01	0.6456900557602958
1982-06-01	-1.427556778937908
1982-07-01	-0.38102089615633195
1982-08-01	-1.7695111590813608
1982-09-01	-0.9140690564894303
1982-10-01	0.31935176971104307
1982-11-01	-0.3745743767096318
1982-12-01	0.6044016237581648
1983-01-01	1.7013977870799872
1983-02-01	0.8816649610632006
1983-03-01	-0.43843602417936667
1983-04-01	-1.4929084859232886
1983-05-01	-0.7132206222800459
1983-06-01	0.030852643389395026
1983-07-01	0.8869883940724995
1983-08-01	-0.8669422904748855
1983-09-01	0.5450948698225098
1983-10-01	-0.45455848371887525
1983-11-01	0.71632106672403
1983-12-01	-0.10425329359889855
1984-01-01	0.6896484249958679
1984-02-01	0.9371491749107167
1984-03-01	-1.1418191732300806
1984-04-01	0.2216113878660614
1984-05-01	0.33924247912094396
1984-06-01	-2.6699840532407433
1984-07-01	-0.498029869424158
1984-08-01	0.7660248678002387
1984-09-01	1.4886703393202885
1984-10-01	-0.5517890629174235
1984-11-01	-1.721752666146714
1984-12-01	-0.030596818845177988
1985-01-01	0.5620491953460405
1985-02-01	0.30555148426096923
1985-03-01	-0.7517013189469728
1985-04-01	-0.001041310874930898
1985-05-01	-0.29430620643678007
1985-06-01	-1.0321703170281953
1985-07-01	0.22902281163846192
1985-08-01	-0.8079443335438209
1985-09-01	-0.22765178236355216
1985-10-01	-0.710172682621057
1985-11-01	-2.7613324408208424
1985-12-01	-1.0121276326159248
1986-01-01	0.31749942794312824
1986-02-01	1.6094062544991747
1986-03-01	0.9961587419026662
1986-04-01	0.3674907186545676
1986-05-01	0.35185386959196846
1986-06-01	3.779637099083268
1986-07-01	0.8303999187716543
1986-08-01	0.1870325763401288
1986-09-01	0.18776211445012647
1986-10-01	-1.4080085143827457
1986-11-01	0.03707416472648302
1986-12-01	-0.2547834616871774
1987-01-01	0.5787914001448964
1987-02-01	1.3811697007720425
1987-03-01	1.4516008826506086
1987-04-01	-0.7872919880624817
1987-05-01	-1.4168164881972936
1987-06-01	-0.27141442468514937
1987-07-01	0.11963068748870909
1987-08-01	-1.4500845968162386
1987-09-01	-0.2099922196579352
1987-10-01	-1.2499590699406555
1987-11-01	0.562728618298246
1987-12-01	-0.16226074603633517
1988-01-01	-1.0248077599716856
1988-02-01	0.7094621655687585
1988-03-01	0.9990235446099526
1988-04-01	-1.3179118989254381
1988-05-01	-1.9303992787824007
1988-06-01	-1.0955725594698031
1988-07-01	-0.7208692861014104
1988-08-01	-1.3993110195739216
1988-09-01	-0.3492514754629776
1988-10-01	0.8985112491991172
1988-11-01	-1.0106619893919575
1988-12-01	0.10858509185752607
1989-01-01	-0.8988058822509988
1989-02-01	-0.25627380365126307
1989-03-01	-0.03417835102951092
1989-04-01	-1.3561251998663275
1989-05-01	0.4112649734712287
1989-06-01	-0.688844460764125
1989-07-01	0.34620904586872686
1989-08-01	0.701682492757382
1989-09-01	0.8192379245579777
1989-10-01	0.4553193486079228
1989-11-01	-0.017356860287787632
1989-12-01	0.7164657944513358
1990-01-01	-0.3458691266593714
1990-02-01	-2.1591004020506657
1990-03-01	-0.5771862462190416
1990-04-01	0.013175831420568194
1990-05-01	0.8290733122058535
1990-06-01	2.7267677892171447
1990-07-01	1.5304308010285141
1990-08-01	0.4447203139591252
1990-09-01	-1.4252044720845882
1990-10-01	0.4066603956306296
1990-11-01	1.046511996419118
1990-12-01	0.03034431613775435
1991-01-01	0.7255780914073785
1991-02-01	0.8878281473279139
1991-03-01	1.1530096979879971
1991-04-01	1.228567403312871
1991-05-01	-0.03766349679166069
1991-06-01	0.18708635913429905
1991-07-01	-0.31294168970239816
1991-08-01	1.4629371180674906
1991-09-01	0.466588487228913
1991-10-01	0.32587439984675654
1991-11-01	0.48786900177358616
1991-12-01	0.7310868743666176
1992-01-01	0.9560911947235871
1992-02-01	0.36236052521280937
1992-03-01	-1.1177290502807165
1992-04-01	-0.7244545243451402
1992-05-01	0.8162850147775095
1992-06-01	1.3283294290954322
1992-07-01	-1.619052744151154
1992-08-01	-0.10416571503275981
1992-09-01	1.1904498893290327
1992-10-01	0.5975790700629178
1992-11-01	-0.5201152871819303
1992-12-01	0.12039535779774567
1993-01-01	0.7191060025165439
1993-02-01	-0.5803099391717333
1993-03-01	0.034239132590658944
1993-04-01	0.16295786168684148
1993-05-01	1.0771637116394417
1993-06-01	-0.26278690662539456
1993-07-01	-1.2653585829910652
1993-08-01	-0.9646221600499332
1993-09-01	-1.1623469498493668
1993-10-01	-1.1052870395301453
1993-11-01	0.3115016630850863
1993-12-01	-0.4582341682643161
1994-01-01	0.0986593886762249
1994-02-01	-0.4786496799046203
