time	NIN12
1980-01-01	-0.22759339
1980-02-01	-0.4208197
1980-03-01	-0.015246745
1980-04-01	-0.029987335
1980-05-01	-0.38620034
1980-06-01	-0.3395197
1980-07-01	-0.8148094
1980-08-01	-0.4597036
1980-09-01	-0.32439154
1980-10-01	-0.49246362
1980-11-01	-0.41158006
1980-12-01	-0.42129228
1981-01-01	-1.4715347
1981-02-01	-1.1275464
1981-03-01	-0.5146394
1981-04-01	-0.70284355
1981-05-01	-0.75624716
1981-06-01	-0.6216587
1981-07-01	-0.8536744
1981-08-01	-1.0768808
1981-09-01	-0.76211137
1981-10-01	-0.5350085
1981-11-01	-0.44203594
1981-12-01	-0.18223152
1982-01-01	-0.25653854
1982-02-01	-0.74691355
1982-03-01	-1.2188919
1982-04-01	-0.78023255
1982-05-01	-0.32432398
1982-06-01	0.08843836
1982-07-01	0.42415127
1982-08-01	0.75433505
1982-09-01	1.2337886
1982-10-01	1.713351
1982-11-01	2.8693755
1982-12-01	3.0319536
1983-01-01	2.5588307
1983-02-01	1.9847835
1983-03-01	2.2120132
1983-04-01	3.2270756
1983-05-01	3.7453387
1983-06-01	4.098538
1983-07-01	3.7133715
1983-08-01	2.8506012
1983-09-01	1.3447298
1983-10-01	0.98363745
1983-11-01	0.43210998
1983-12-01	0.23647587
1984-01-01	-0.3556814
1984-02-01	-0.8461955
1984-03-01	-0.7881948
1984-04-01	-0.21906412
1984-05-01	-1.0387443
1984-06-01	-0.876747
1984-07-01	-0.57887745
1984-08-01	-0.5423151
1984-09-01	-0.09479
1984-10-01	-0.47302476
1984-11-01	-0.100023866
1984-12-01	-0.3923764
1985-01-01	-0.7781398
1985-02-01	-1.343643
1985-03-01	-0.88169926
1985-04-01	-1.3659557
1985-05-01	-1.8211609
1985-06-01	-1.2280407
1985-07-01	-1.3325866
1985-08-01	-1.1994952
1985-09-01	-0.95817804
1985-10-01	-0.90196174
1985-11-01	-0.7754371
1985-12-01	-0.36560664
1986-01-01	-0.033438
1986-02-01	-0.12700495
1986-03-01	-0.73908454
1986-04-01	-0.8720051
1986-05-01	-1.1818069
1986-06-01	-1.0491313
1986-07-01	-0.4949317
1986-08-01	-0.112414
1986-09-01	0.13436721
1986-10-01	0.19161464
1986-11-01	0.3232442
1986-12-01	0.56596565
1987-01-01	0.94216067
1987-02-01	0.90784776
1987-03-01	1.4182173
1987-04-01	1.468789
1987-05-01	1.4385376
1987-06-01	0.95725524
1987-07-01	0.9985805
1987-08-01	0.7839975
1987-09-01	1.0573931
1987-10-01	1.4080305
1987-11-01	1.1014178
1987-12-01	0.6598545
1988-01-01	0.03524949
