valid_time	SAD
1991-01-01	-0.6641587893039421
1991-02-01	-1.1918341408745527
1991-03-01	-1.2665813956384224
1991-04-01	-0.12138223224921915
1991-05-01	-0.06282659897794532
1991-06-01	0.043687349763279384
1991-07-01	-0.39665892406324577
1991-08-01	-0.9332908047619828
1991-09-01	-0.5955584791486606
1991-10-01	-1.266919199553319
1991-11-01	-1.594049001589289
1991-12-01	-0.6413663338165089
1992-01-01	-1.512624864546395
1992-02-01	-1.562344002662204
1992-03-01	-2.26808058603019
1992-04-01	-2.0687364193223297
1992-05-01	-2.506260140625142
1992-06-01	-2.6006044486760356
1992-07-01	-1.9377240251842973
1992-08-01	-2.360068863544465
1992-09-01	-1.4365253517024192
1992-10-01	-1.598248447166337
1992-11-01	-2.0797998888088167
1992-12-01	-1.4165906717955816
1993-01-01	-1.2183825921838662
1993-02-01	-0.898116228446295
1993-03-01	-0.5304930320834677
1993-04-01	-0.3325906020757349
1993-05-01	-0.5628352952888096
1993-06-01	-0.8395077059011803
1993-07-01	-0.7366559387218921
1993-08-01	-0.40200746555235406
1993-09-01	0.9172892951724606
1993-10-01	1.2651984805244465
1993-11-01	1.2317263077662388
1993-12-01	0.5210062880647599
1994-01-01	-0.4558797223642691
1994-02-01	-0.5410031466856643
1994-03-01	-0.44119566483829126
1994-04-01	-0.4601657976428408
1994-05-01	-0.2729702539185114
1994-06-01	-0.9384691293138762
1994-07-01	-1.5160013793637968
1994-08-01	-1.100933477922768
1994-09-01	-0.9124598935630253
1994-10-01	-0.7869952304766967
1994-11-01	-0.22462062208553807
1994-12-01	0.27396049003014356
1995-01-01	0.3809419796079678
1995-02-01	0.6782548282928693
1995-03-01	0.7937326193722631
1995-04-01	0.16924862670876123
1995-05-01	-0.2979542182304246
1995-06-01	0.034986635385193934
1995-07-01	-0.35964098430805186
1995-08-01	-1.4739374370284977
1995-09-01	-1.3681770293016169
1995-10-01	-1.1060315134327996
1995-11-01	-0.666273847776819
1995-12-01	-0.8028957530389045
1996-01-01	-0.7655473012012559
1996-02-01	0.39545838328563626
1996-03-01	-0.298928448803585
1996-04-01	0.11468633148933913
1996-05-01	0.4144627635361469
1996-06-01	0.6932316025706462
1996-07-01	0.6315743360389509
1996-08-01	-0.001988068143576863
1996-09-01	-0.8701169735765636
1996-10-01	-0.845330471327884
1996-11-01	-1.1430576571909434
1996-12-01	-1.781581020268699
1997-01-01	-2.4660364215523667
1997-02-01	-2.9983032720007667
1997-03-01	-3.7022207369810567
1997-04-01	-3.3078220538366687
1997-05-01	-2.861725604217642
1997-06-01	-2.5892654921884892
1997-07-01	-1.4116212876461054
1997-08-01	-1.0001417120311604
1997-09-01	-0.38533029157782395
1997-10-01	0.5471575502649824
1997-11-01	1.01609721239681
1997-12-01	1.9644102942994752
1998-01-01	1.0451423285414114
1998-02-01	1.2331143469787917
1998-03-01	0.7933897189864598
1998-04-01	0.5690042825496023
1998-05-01	0.7850455214575079
1998-06-01	1.1854186128084523
1998-07-01	1.133229722593334
1998-08-01	0.5917849333731912
1998-09-01	0.11235056842810447
1998-10-01	-0.3812344181406484
1998-11-01	0.32177657587467334
1998-12-01	-0.5265305796061763
1999-01-01	-1.2085390047925948
1999-02-01	-1.2105951588245178
1999-03-01	-0.6999667096770967
1999-04-01	-0.02521504846796016
1999-05-01	0.27750724652852743
1999-06-01	-0.040149674553608745
1999-07-01	0.9607779662489195
1999-08-01	0.4260048874176808
1999-09-01	-0.29942770945726327
1999-10-01	-0.4896161710468958
1999-11-01	0.2685339035176344
1999-12-01	0.00721890829914113
2000-01-01	-0.8881940305251865
2000-02-01	-0.41664083886493386
2000-03-01	-0.5687361883790956
2000-04-01	-0.7552572417540729
2000-05-01	-0.5117925551448788
2000-06-01	-0.04700559732042383
2000-07-01	0.05459402458443605
2000-08-01	0.13327201561456287
2000-09-01	-0.5601089555761839
2000-10-01	-0.5940185495793203
2000-11-01	-0.5956080319824962
2000-12-01	-0.38692338003037746
2001-01-01	0.28104573691562523
2001-02-01	0.31880233275418113
2001-03-01	-0.06966289700068079
2001-04-01	0.2348210807703004
2001-05-01	0.6055867331545107
2001-06-01	0.43380007125456976
2001-07-01	-0.23408543151777958
2001-08-01	-0.5061767815879668
2001-09-01	-0.9624715278262189
2001-10-01	-0.28735075512334035
2001-11-01	-0.26817105626282134
2001-12-01	-1.2179791730347589
2002-01-01	-1.2074498377552716
2002-02-01	-1.1446907741253673
2002-03-01	-0.007210419819404646
2002-04-01	-0.17546861515696383
2002-05-01	0.35481188875690683
2002-06-01	0.20448703001955462
2002-07-01	-0.4378226934993496
2002-08-01	-0.6943623301945587
2002-09-01	-1.070123841233166
2002-10-01	-0.3601163503310114
2002-11-01	-0.5646971411149738
2002-12-01	0.9960354279914506
2003-01-01	1.4826370956028998
2003-02-01	1.8222238822715064
2003-03-01	1.586401402498323
2003-04-01	0.7120644615491795
2003-05-01	0.44043876410211347
2003-06-01	-0.17203300243865582
2003-07-01	0.3240834859140958
2003-08-01	0.682118877838937
2003-09-01	0.41643859318680193
2003-10-01	0.9079890488874696
2003-11-01	0.6015458713032888
2003-12-01	1.237802907021377
2004-01-01	0.05715865421045672
2004-02-01	-0.8236423190117369
2004-03-01	-1.7050145411829085
2004-04-01	-1.4636491414998642
2004-05-01	-0.9190188324657061
2004-06-01	-0.6235957032284296
2004-07-01	-0.1901654612017952
2004-08-01	0.10680960422864832
2004-09-01	0.5481418601069139
2004-10-01	0.1451995747415324
2004-11-01	0.41391526891923597
2004-12-01	0.6763239775705631
2005-01-01	0.05546414556647815
