time	SAD
1980-01-01	-1.155679440677391
1980-02-01	-1.41381730791043
1980-03-01	-1.375904844534463
1980-04-01	-0.7955711642531935
1980-05-01	-1.216601007445383
1980-06-01	-1.4134152314418509
1980-07-01	-0.9161744889440268
1980-08-01	-0.7571950594894004
1980-09-01	-0.3467527632881839
1980-10-01	-1.024006681499169
1980-11-01	-1.0780721673557272
1980-12-01	-2.3440177568241483
1981-01-01	-1.594199140150361
1981-02-01	-2.2996461924881344
1981-03-01	-2.595397538688804
1981-04-01	-2.143386872743368
1981-05-01	-1.9916258711282835
1981-06-01	-1.8090419156034192
1981-07-01	-1.2378212969951772
1981-08-01	-1.3294558020162845
1981-09-01	-0.5113364819222992
1981-10-01	-0.14156483993605726
1981-11-01	0.040035013664830386
1981-12-01	-0.908041961711864
1982-01-01	-1.5131659722988815
1982-02-01	-1.9089089171824376
1982-03-01	-2.285302528370345
1982-04-01	-2.1036945178013227
1982-05-01	-2.210384742819767
1982-06-01	-1.634647731899922
1982-07-01	-1.6665088693273507
1982-08-01	-2.2810537938683613
1982-09-01	-1.1427877448200352
1982-10-01	-0.9035890896072647
1982-11-01	-1.050991929354134
1982-12-01	-0.4310117971154275
1983-01-01	0.1875128847094401
1983-02-01	-0.08449238297622234
1983-03-01	-1.6544047639473836
1983-04-01	-1.1451917796070639
1983-05-01	-1.59274849029115
1983-06-01	-1.8241127447556942
1983-07-01	-1.52884910882809
1983-08-01	-0.8210893758290391
1983-09-01	-0.7266874669500827
1983-10-01	-1.0386905471027452
1983-11-01	-0.6414563221591469
1983-12-01	-0.03547883220101935
1984-01-01	0.5543739964787504
1984-02-01	0.8648027599361598
1984-03-01	0.6877889722532783
1984-04-01	-0.20393649395053137
1984-05-01	-0.44184799844598727
1984-06-01	0.036564344766771506
1984-07-01	0.34437986368527523
1984-08-01	1.00801877689942
1984-09-01	1.1667737011335797
1984-10-01	0.45904758508191906
1984-11-01	0.12164238570229588
1984-12-01	0.3066840237069872
1985-01-01	-0.5538527086785047
1985-02-01	-0.38912281646268493
1985-03-01	-1.1201721288131883
1985-04-01	-0.8880982413455593
1985-05-01	-0.6744220787603036
1985-06-01	-0.961118445765498
1985-07-01	0.017453147849776404
1985-08-01	-0.10582564519447006
1985-09-01	-0.28130999859759176
1985-10-01	0.17427505473175875
1985-11-01	0.09660295603968465
1985-12-01	-0.17204450071614136
1986-01-01	-0.5358016065696346
1986-02-01	0.24615875400981294
1986-03-01	0.2259392466097088
1986-04-01	-0.6194973877145216
1986-05-01	-0.033272699783769295
1986-06-01	0.24008553188229034
1986-07-01	-0.07355829911666091
1986-08-01	-0.11064183609138395
1986-09-01	-0.029962806731143432
1986-10-01	-0.29224847086375383
1986-11-01	-0.6695349231705178
1986-12-01	-0.508048008862956
1987-01-01	-0.7555398835680812
1987-02-01	-0.15180023744914878
1987-03-01	-0.07816845285794698
1987-04-01	0.02161069098148925
1987-05-01	0.4674405851724063
1987-06-01	0.7370796676365096
1987-07-01	0.695375747335904
1987-08-01	0.9685873110838998
1987-09-01	0.06858935570352202
1987-10-01	0.8531628172208937
1987-11-01	1.6024267764595501
1987-12-01	0.5520294307330036
1988-01-01	0.8287102365692202
1988-02-01	1.02234014643263
1988-03-01	1.0232411331344888
1988-04-01	0.2568150603286445
1988-05-01	0.8497027774432452
1988-06-01	0.8665818868663975
1988-07-01	0.6668070154383979
1988-08-01	0.8062701702596202
1988-09-01	-0.1742290951299411
1988-10-01	-0.03970067230635183
1988-11-01	-0.10664369480751391
1988-12-01	-0.11637751530248884
1989-01-01	0.41534660519181343
1989-02-01	0.040215165478391254
1989-03-01	-0.06604253915158698
1989-04-01	-0.23752304487375853
1989-05-01	-0.3923923196857221
1989-06-01	-0.11655337271380789
1989-07-01	0.2101069777836249
1989-08-01	0.5340074954436489
1989-09-01	0.2825422521679746
1989-10-01	0.09449516102990226
1989-11-01	-0.6356042341800751
1989-12-01	-1.7851563454854538
1990-01-01	-2.0350998938035687
1990-02-01	-0.898875519327298
1990-03-01	-0.1936106447638973
1990-04-01	0.4290156356819729
1990-05-01	-0.8747003035016158
1990-06-01	-0.4887272168425899
1990-07-01	-0.5369064697256385
1990-08-01	-1.0058506320550673
1990-09-01	-0.6057158452297551
1990-10-01	-0.38823608195380804
1990-11-01	-0.0773859765988751
1990-12-01	0.17953278926820404
1991-01-01	-0.7466894809121387
1991-02-01	-1.125370998883654
1991-03-01	-1.2117455119271412
1991-04-01	-0.08429685810920996
1991-05-01	-0.034935457459896735
1991-06-01	0.10676455329069386
1991-07-01	-0.40529177027872915
1991-08-01	-1.022482611919208
1991-09-01	-0.6387147988225803
1991-10-01	-1.25631529170299
1991-11-01	-1.5892217886839757
1991-12-01	-0.8083150099750341
1992-01-01	-1.6558010117048674
1992-02-01	-1.689129170177654
1992-03-01	-2.407711442122808
1992-04-01	-2.143041173591068
1992-05-01	-2.5600859170370796
1992-06-01	-2.6261204313771693
1992-07-01	-1.9974327846058262
1992-08-01	-2.2630018037013975
1992-09-01	-1.626081752129152
1992-10-01	-1.9150036622148672
1992-11-01	-2.310229861979819
1992-12-01	-1.4631623571522765
1993-01-01	-1.325245683198098
1993-02-01	-0.9944140819628813
1993-03-01	-0.6417202005314625
1993-04-01	-0.36209306757633725
1993-05-01	-0.612499426353836
1993-06-01	-0.8236910728488173
1993-07-01	-0.7366537095998725
1993-08-01	-0.5809881711575222
1993-09-01	0.7144059297743315
1993-10-01	1.2721375715490029
1993-11-01	1.315761012220796
1993-12-01	0.5130895717220956
1994-01-01	-0.53490085770434
