time	SASDI
1997-05-01	-1.5526237
1997-06-01	-1.1553755
1997-07-01	-0.6046404
1997-08-01	-0.44019115
1997-09-01	0.10365303
1997-10-01	0.8300307
1997-11-01	1.2088444
1997-12-01	1.7348052
1998-01-01	0.6627295
1998-02-01	0.21129361
1998-03-01	0.23129877
1998-04-01	0.6261198
1998-05-01	0.9251003
1998-06-01	1.1429478
1998-07-01	1.0971578
1998-08-01	0.31126687
1998-09-01	-0.11703667
1998-10-01	-0.49667433
1998-11-01	-0.18095326
1998-12-01	-0.5462812
1999-01-01	-1.1635456
1999-02-01	-1.1280801
1999-03-01	-0.32100308
1999-04-01	0.08040778
1999-05-01	0.43292138
1999-06-01	0.59921145
1999-07-01	0.624524
1999-08-01	0.50146425
1999-09-01	0.6822325
1999-10-01	0.42070416
1999-11-01	0.5483603
1999-12-01	0.19904041
2000-01-01	-0.6222401
2000-02-01	-0.326244
2000-03-01	-0.3577574
2000-04-01	-0.16223523
2000-05-01	-0.14877719
2000-06-01	0.27937546
2000-07-01	-0.022873044
2000-08-01	0.27770954
2000-09-01	0.2748825
2000-10-01	0.32492894
2000-11-01	0.12225481
2000-12-01	-0.63149846
2001-01-01	-0.11366439
2001-02-01	-0.16939688
2001-03-01	-0.3918747
2001-04-01	-0.025174119
2001-05-01	0.9065218
2001-06-01	0.35922682
2001-07-01	0.63100135
2001-08-01	0.48547485
2001-09-01	0.01375258
2001-10-01	0.21078654
2001-11-01	-0.17248441
2001-12-01	-0.5945355
2002-01-01	-0.5855071
2002-02-01	-0.48162436
2002-03-01	0.047661647
2002-04-01	0.73428595
2002-05-01	0.62458354
2002-06-01	0.5252152
2002-07-01	-0.30949458
2002-08-01	-0.2198579
2002-09-01	0.55262786
2002-10-01	0.5599941
2002-11-01	0.074228555
2002-12-01	0.86934936
2003-01-01	1.3699443
2003-02-01	1.616327
2003-03-01	1.1661016
2003-04-01	0.8402831
2003-05-01	0.98739064
2003-06-01	0.44902164
2003-07-01	0.47974825
2003-08-01	0.6150072
2003-09-01	0.57653815
2003-10-01	0.6609305
2003-11-01	0.30113554
2003-12-01	0.07325032
2004-01-01	-0.0027469397
2004-02-01	-0.14325756
2004-03-01	-0.49031246
2004-04-01	-0.9062462
2004-05-01	-1.0638921
2004-06-01	-0.59834355
2004-07-01	-0.22422113
2004-08-01	-0.29710326
2004-09-01	-0.4824852
2004-10-01	-0.43612158
2004-11-01	0.058238402
2004-12-01	1.1283728
2005-01-01	0.7839807
2005-02-01	0.7370007
2005-03-01	0.4816384
2005-04-01	0.03245785
2005-05-01	-0.33551222
2005-06-01	-0.63465047
2005-07-01	-0.8002721
2005-08-01	-0.6613632
2005-09-01	-0.7169578
2005-10-01	-0.702511
2005-11-01	-0.5490282
2005-12-01	-1.0861574
2006-01-01	-0.7060785
2006-02-01	-0.6353281
2006-03-01	-0.49357668
2006-04-01	-0.8233814
2006-05-01	-0.97502255
2006-06-01	-0.6269187
2006-07-01	-0.15756585
2006-08-01	0.13136633
2006-09-01	-0.23787874
2006-10-01	-0.35470918
2006-11-01	-0.64254946
2006-12-01	-0.42460272
2007-01-01	-0.38657638
2007-02-01	-0.36374825
2007-03-01	-1.0048499
2007-04-01	-0.5340375
2007-05-01	-0.25861278
2007-06-01	0.052503288
2007-07-01	0.0869869
2007-08-01	-0.14832577
2007-09-01	-0.20469674
2007-10-01	-0.51055974
2007-11-01	-0.32701522
2007-12-01	-0.745349
2008-01-01	-0.8113818
2008-02-01	-0.3258735
2008-03-01	0.21964121
2008-04-01	0.42244506
2008-05-01	0.76492745
2008-06-01	0.7130972
2008-07-01	0.7216463
2008-08-01	0.65808773
2008-09-01	0.55629104
2008-10-01	0.36359584
2008-11-01	0.52822137
2008-12-01	0.19603898
2009-01-01	0.07177886
2009-02-01	-0.6816617
2009-03-01	-0.32796693
2009-04-01	-0.111306146
2009-05-01	0.26533347
2009-06-01	0.2951951
2009-07-01	0.4412918
