time	NAO
1980-01-01	-2.2779417021521966
1980-02-01	-1.1883580333347674
1980-03-01	-0.8917730433440301
1980-04-01	0.042086116765730465
1980-05-01	-1.341466275869261
1980-06-01	0.166359156710013
1980-07-01	0.03780119143728737
1980-08-01	-0.6146989446353096
1980-09-01	0.6910826677199273
1980-10-01	-0.4535688547219896
1980-11-01	-0.7955024438031517
1980-12-01	0.3364274097625959
1981-01-01	-1.1333785309113535
1981-02-01	0.2320842984661243
1981-03-01	-2.131709438170723
1981-04-01	0.2059754028365845
1981-05-01	0.24667555811165875
1981-06-01	0.22487268368241445
1981-07-01	0.1134277755484099
1981-08-01	-0.14656872444717564
1981-09-01	-0.9115861296616466
1981-10-01	-0.6757464313463699
1981-11-01	-0.6192259564521255
1981-12-01	-2.3821390951130312
1982-01-01	-1.0146698347880567
1982-02-01	0.6276229408616544
1982-03-01	1.0479857296330537
1982-04-01	0.6496381010861815
1982-05-01	-0.20384997705571803
1982-06-01	-0.4458982900774794
1982-07-01	0.05597075226132561
1982-08-01	0.43513945708468504
1982-09-01	0.9174233421925267
1982-10-01	-0.0900763429928504
1982-11-01	1.086512636582662
1982-12-01	1.2442620620769038
1983-01-01	1.1587455107564855
1983-02-01	-1.1022731655589233
1983-03-01	0.23893733986834947
1983-04-01	-1.0588256076736748
1983-05-01	0.14313982736414627
1983-06-01	0.31896681381673775
1983-07-01	-0.18704174102947413
1983-08-01	0.39113436718517475
1983-09-01	-0.1827965153389488
1983-10-01	1.1125539688409884
1983-11-01	-1.5368318173844648
1983-12-01	0.6136702113149618
1984-01-01	1.773056295762559
1984-02-01	0.014455354262127585
1984-03-01	-0.9785078034359945
1984-04-01	-0.7248781103059447
1984-05-01	0.26226878255849456
1984-06-01	-0.15927881472130478
1984-07-01	-0.4482238065854325
1984-08-01	-0.10761088869312824
1984-09-01	-0.023212281901220978
1984-10-01	0.4479862128672111
1984-11-01	-0.432873443128449
1984-12-01	1.7016300691694444
1985-01-01	-2.791089201347408
1985-02-01	-1.0180295358282738
1985-03-01	0.1992199319654163
1985-04-01	0.47968095683870804
1985-05-01	-0.35533618042441234
1985-06-01	-0.19906025298355537
1985-07-01	0.3914092888693192
1985-08-01	-0.18473002423159002
1985-09-01	-0.49100316410240247
1985-10-01	0.6043499263918363
1985-11-01	-1.2661052713923737
1985-12-01	-0.6528526710816563
1986-01-01	0.33778977387017983
1986-02-01	-2.511912173211287
1986-03-01	2.5479182853271602
1986-04-01	-0.7583309679666166
1986-05-01	0.09018384970509846
1986-06-01	1.0675552805307529
1986-07-01	0.2311354872641973
1986-08-01	-0.2117408850431583
1986-09-01	-1.0441986411757267
1986-10-01	2.232059041803159
1986-11-01	1.8912497399120038
1986-12-01	1.1012975244426737
1987-01-01	-0.9705493094385161
1987-02-01	-1.6525587844759912
1987-03-01	-1.1712309957598321
1987-04-01	0.8402235419155162
1987-05-01	-0.09229419088856942
1987-06-01	-0.4942096745718298
1987-07-01	-0.14228541000485337
1987-08-01	-0.3919548323471771
1987-09-01	-0.1290500110635062
1987-10-01	0.9923303948422075
1987-11-01	-0.3171956544413013
1987-12-01	-1.6330532234907815
1988-01-01	0.8173073571339706
1988-02-01	-0.1972591139550697
1988-03-01	-0.7156580700322447
1988-04-01	-1.2071938906639539
1988-05-01	-0.004472113480863611
1988-06-01	-0.04630986853314173
1988-07-01	0.27696970939102855
1988-08-01	0.34640536844707265
1988-09-01	0.002882020710101689
1988-10-01	-0.0030404694091261406
1988-11-01	-0.5674229404050916
1988-12-01	1.4474138006504311
1989-01-01	2.729296764411646
1989-02-01	2.3214367140993124
1989-03-01	1.999268447988169
1989-04-01	0.015207480218292201
1989-05-01	0.8018079049783533
1989-06-01	-0.2616946702815308
1989-07-01	-0.0346710088301592
1989-08-01	0.1683861539110787
1989-09-01	0.7920736262220809
1989-10-01	0.48159628264353793
1989-11-01	0.48976331701612325
1989-12-01	-0.4746257087879579
1990-01-01	1.3356644909945876
1990-02-01	2.308244117229951
1990-03-01	2.2021259256501415
1990-04-01	1.5033857836292845
1990-05-01	-0.25803959013761757
1990-06-01	0.37885684427727645
1990-07-01	0.16500463579656766
1990-08-01	0.057776174391194694
1990-09-01	0.419505407546185
1990-10-01	1.1044171009791117
1990-11-01	-0.5104322181549967
1990-12-01	1.5061843285585161
1991-01-01	1.6770187018854794
1991-02-01	0.1661871769269422
1991-03-01	-0.37312574953190436
1991-04-01	0.1676929108053201
1991-05-01	-0.020051206907917073
1991-06-01	-0.2725288413445865
1991-07-01	-0.1706900671937516
1991-08-01	0.5757101343266011
1991-09-01	0.2891814822278281
1991-10-01	0.0378343299152961
1991-11-01	0.5946953271493665
1991-12-01	1.922468052673348
1992-01-01	0.691178266885804
1992-02-01	1.127893781797806
1992-03-01	0.4902845445640396
1992-04-01	0.45890448863771627
1992-05-01	1.554196270933131
1992-06-01	-0.04064045042847482
1992-07-01	0.2845242288121025
1992-08-01	0.8550946481036223
1992-09-01	0.04103887461197404
1992-10-01	-1.0414969099930662
1992-11-01	0.8494821948009617
1992-12-01	1.131055937834031
1993-01-01	2.563985711008153
1993-02-01	0.2600916934888152
1993-03-01	1.271897123033456
1993-04-01	0.25979275387742695
1993-05-01	-1.269196035379291
1993-06-01	-0.2734100020984419
1993-07-01	-0.7858457494595866
1993-08-01	-0.10798875476950914
1993-09-01	-0.014647509032402594
1993-10-01	-0.27382523373471174
1993-11-01	2.255644907045575
1993-12-01	0.2416864108112389
1994-01-01	0.14700066164426046
1994-02-01	-0.2763061747341145
1994-03-01	2.095627716346164
