time	PNA
1980-01-01	0.042063380690634894
1980-02-01	3.243543695358739
1980-03-01	-0.16324336371299428
1980-04-01	1.4678960506501992
1980-05-01	0.823845524844269
1980-06-01	0.5469602939783
1980-07-01	0.0861605519448672
1980-08-01	0.2593241161613107
1980-09-01	-0.18943096278421853
1980-10-01	1.5214424914695512
1980-11-01	1.7195311259694324
1980-12-01	1.2962564283175941
1981-01-01	3.995886019331799
1981-02-01	0.48669176185089436
1981-03-01	2.8412061297589126
1981-04-01	-0.6190516614827312
1981-05-01	1.1212843852118493
1981-06-01	-0.23102345937250854
1981-07-01	0.2586164598228726
1981-08-01	-0.5278610661386824
1981-09-01	0.5131583781410843
1981-10-01	-0.19009537049857675
1981-11-01	1.4143963124729164
1981-12-01	0.5479418238961107
1982-01-01	-1.9681860215127787
1982-02-01	-1.0699541952143174
1982-03-01	-1.562884473679001
1982-04-01	-1.5450088067696781
1982-05-01	-0.008328352187037499
1982-06-01	-0.7209698770932199
1982-07-01	-0.606717279619957
1982-08-01	-0.2782420917535422
1982-09-01	0.31650902809965664
1982-10-01	0.19410538079980386
1982-11-01	0.28164823555449875
1982-12-01	0.6636070759809778
1983-01-01	1.8025942651656035
1983-02-01	3.6524620650389013
1983-03-01	3.2239397848345295
1983-04-01	0.4532154939039011
1983-05-01	-0.03288285001657966
1983-06-01	-0.7607781545569133
1983-07-01	-0.4057884204636668
1983-08-01	0.1893140480744277
1983-09-01	-0.6802349788733942
1983-10-01	-0.0884278764133128
1983-11-01	2.38656764272256
1983-12-01	0.27380734622490627
1984-01-01	-0.4592394796834309
1984-02-01	0.7681248472305168
1984-03-01	2.3076994713110373
1984-04-01	0.9092539798073251
1984-05-01	0.4722285072610252
1984-06-01	-0.23737262029703268
1984-07-01	-0.5329416664831952
1984-08-01	-0.2711141999144429
1984-09-01	0.6031657504952995
1984-10-01	0.24257672262484187
1984-11-01	0.6692093288991674
1984-12-01	-2.2582719953617
1985-01-01	2.913159078336758
1985-02-01	-1.533908870489061
1985-03-01	-1.4372432219092433
1985-04-01	-0.7435233525282137
1985-05-01	-0.22952011386480664
1985-06-01	-0.7949477701817287
1985-07-01	-0.7661239899319037
1985-08-01	-0.03702404330949357
1985-09-01	-0.37765143305740245
1985-10-01	-0.7817966185981944
1985-11-01	-0.3000784099628916
1985-12-01	2.1251421288029406
1986-01-01	1.5953499366426431
1986-02-01	2.266669167035046
1986-03-01	0.6512060255995806
1986-04-01	-0.9281522292187683
1986-05-01	0.06631064866156229
1986-06-01	-0.39135277348527847
1986-07-01	0.04629737475023385
1986-08-01	-0.597427954928031
1986-09-01	0.14315993348173922
1986-10-01	1.061202328993392
1986-11-01	-0.8172397553486859
1986-12-01	1.7767600629877995
1987-01-01	1.1346376588414702
1987-02-01	1.905715778731734
1987-03-01	1.766039686435339
1987-04-01	1.0954898670396245
