time	NINO34
1997-04-01	0.16078997
1997-05-01	0.63996714
1997-06-01	1.0857074
1997-07-01	1.5535268
1997-08-01	1.8854457
1997-09-01	2.1243446
1997-10-01	2.3538501
1997-11-01	2.404747
1997-12-01	2.2840304
1998-01-01	2.3731098
1998-02-01	2.0228088
1998-03-01	1.3338121
1998-04-01	0.78704536
1998-05-01	0.5807327
1998-06-01	-0.37857726
1998-07-01	-0.97612745
1998-08-01	-1.2678503
1998-09-01	-1.2489309
1998-10-01	-1.4584001
1998-11-01	-1.4571831
1998-12-01	-1.680646
1999-01-01	-1.6826506
1999-02-01	-1.3201467
1999-03-01	-0.952635
1999-04-01	-1.1138029
1999-05-01	-1.1408062
1999-06-01	-1.1866605
1999-07-01	-1.1643934
1999-08-01	-1.217031
1999-09-01	-1.0869213
1999-10-01	-1.2361859
1999-11-01	-1.5782027
1999-12-01	-1.7337666
2000-01-01	-1.7598056
2000-02-01	-1.5381424
2000-03-01	-0.9841949
2000-04-01	-0.86205447
2000-05-01	-0.8579322
2000-06-01	-0.78023016
2000-07-01	-0.66594267
2000-08-01	-0.48824975
2000-09-01	-0.51402086
2000-10-01	-0.6946773
2000-11-01	-0.78585863
2000-12-01	-0.91326237
2001-01-01	-0.72922504
2001-02-01	-0.62859756
2001-03-01	-0.47800544
2001-04-01	-0.48713624
2001-05-01	-0.33046728
2001-06-01	-0.1900729
2001-07-01	-0.041162167
2001-08-01	-0.052796204
2001-09-01	-0.19963251
2001-10-01	-0.14352445
2001-11-01	-0.36594513
2001-12-01	-0.4053335
2002-01-01	-0.15029623
2002-02-01	-0.04094184
2002-03-01	0.006896635
2002-04-01	0.023654526
2002-05-01	0.30800804
2002-06-01	0.71304893
2002-07-01	0.7364348
2002-08-01	0.86431605
2002-09-01	1.0873855
2002-10-01	1.2390138
2002-11-01	1.4578713
2002-12-01	1.3670763
2003-01-01	0.60328895
2003-02-01	0.6387878
2003-03-01	0.36270413
2003-04-01	-0.13926998
2003-05-01	-0.6105283
2003-06-01	-0.28592822
2003-07-01	0.20381474
2003-08-01	0.25305298
2003-09-01	0.2661474
2003-10-01	0.42173758
2003-11-01	0.33840308
2003-12-01	0.43723333
2004-01-01	0.27517083
2004-02-01	0.23497269
2004-03-01	0.117812335
2004-04-01	0.06590915
2004-05-01	0.05265245
2004-06-01	0.12376622
2004-07-01	0.47527048
2004-08-01	0.74791014
2004-09-01	0.80465925
2004-10-01	0.72168946
2004-11-01	0.65703017
2004-12-01	0.74121386
2005-01-01	0.6581497
2005-02-01	0.35798192
2005-03-01	0.44420695
2005-04-01	0.259686
2005-05-01	0.30328014
2005-06-01	0.045377657
2005-07-01	-0.22671753
2005-08-01	-0.051444184
2005-09-01	-0.033752352
2005-10-01	-0.06565707
2005-11-01	-0.5929134
2005-12-01	-0.92163545
2006-01-01	-0.91146785
2006-02-01	-0.6735928
2006-03-01	-0.7112646
2006-04-01	-0.31723514
2006-05-01	-0.08926726
2006-06-01	0.0008557833
2006-07-01	0.0052155713
2006-08-01	0.30599266
2006-09-01	0.6018687
2006-10-01	0.70011365
2006-11-01	0.99244267
2006-12-01	1.1399895
2007-01-01	0.70123744
2007-02-01	0.13229564
2007-03-01	-0.17593257
2007-04-01	-0.31334466
2007-05-01	-0.47108206
2007-06-01	-0.35570353
2007-07-01	-0.58894134
2007-08-01	-0.7216814
2007-09-01	-1.1104755
2007-10-01	-1.388308
2007-11-01	-1.5308615
2007-12-01	-1.5786802
2008-01-01	-1.6790212
2008-02-01	-1.6639816
2008-03-01	-1.2077254
2008-04-01	-0.98872447
2008-05-01	-0.84293264
2008-06-01	-0.6838081
2008-07-01	-0.30004042
2008-08-01	-0.13191326
2008-09-01	-0.2517648
2008-10-01	-0.3492731
2008-11-01	-0.45743257
2008-12-01	-0.8581034
2009-01-01	-0.88702965
2009-02-01	-0.7902201
2009-03-01	-0.69599223
2009-04-01	-0.349664
2009-05-01	0.057472948
2009-06-01	0.3140625
2009-07-01	0.4812257
2009-08-01	0.56219864
2009-09-01	0.6822863
2009-10-01	0.8882911
2009-11-01	1.4505289
2009-12-01	1.7324859
2010-01-01	1.5123272
2010-02-01	1.249961
2010-03-01	0.8972755
2010-04-01	0.38714552
2010-05-01	-0.21411014
2010-06-01	-0.68405867
2010-07-01	-1.0678244
2010-08-01	-1.3817614
2010-09-01	-1.5900081
2010-10-01	-1.6862302
2010-11-01	-1.6401737
2010-12-01	-1.6024354
2011-01-01	-1.5338668
2011-02-01	-1.1001481
2011-03-01	-0.9114454
2011-04-01	-0.7540647
2011-05-01	-0.51621675
2011-06-01	-0.37436384
2011-07-01	-0.42094475
2011-08-01	-0.63933927
2011-09-01	-0.7934547
2011-10-01	-1.0441633
2011-11-01	-1.1765944
2011-12-01	-1.055023
2012-01-01	-0.866668
2012-02-01	-0.6732882
2012-03-01	-0.6121731
2012-04-01	-0.49894273
2012-05-01	-0.32066956
2012-06-01	0.020236792
2012-07-01	0.24572267
2012-08-01	0.4613839
2012-09-01	0.37745243
2012-10-01	0.25922447
2012-11-01	0.15266767
2012-12-01	-0.25694722
2013-01-01	-0.5196552
2013-02-01	-0.509962
2013-03-01	-0.25024596
2013-04-01	-0.24742144
2013-05-01	-0.39932814
2013-06-01	-0.42908886
2013-07-01	-0.3925272
2013-08-01	-0.3821202
2013-09-01	-0.1800987
2013-10-01	-0.20006558
2013-11-01	-0.14087304
2013-12-01	-0.16159229
2014-01-01	-0.5057798
2014-02-01	-0.625618
2014-03-01	-0.28373426
2014-04-01	0.0783921
2014-05-01	0.30721244
2014-06-01	0.21621649
2014-07-01	-0.073272325
2014-08-01	-0.035954386
2014-09-01	0.27812007
