time	NIN03
1997-02-01	-0.6687153
1997-03-01	-0.3336578
1997-04-01	-0.09824135
1997-05-01	0.6709466
1997-06-01	1.513263
1997-07-01	2.100366
1997-08-01	2.587587
1997-09-01	2.837497
1997-10-01	3.0692127
1997-11-01	3.2535949
1997-12-01	3.2817452
1998-01-01	3.0720694
1998-02-01	2.4787986
1998-03-01	1.9099106
1998-04-01	1.6318465
1998-05-01	1.387922
1998-06-01	0.38021064
1998-07-01	-0.3668051
1998-08-01	-0.6572067
1998-09-01	-0.9393909
1998-10-01	-0.9793036
1998-11-01	-0.86263055
1998-12-01	-1.1018205
1999-01-01	-1.2548181
1999-02-01	-0.89210105
1999-03-01	-0.52228546
1999-04-01	-0.87537146
1999-05-01	-0.8049014
1999-06-01	-0.90055096
1999-07-01	-0.7586694
1999-08-01	-0.8335154
1999-09-01	-1.1133567
1999-10-01	-1.3763069
1999-11-01	-1.4996128
1999-12-01	-1.545883
2000-01-01	-1.6490105
2000-02-01	-1.1393877
2000-03-01	-0.51144564
2000-04-01	-0.17799594
2000-05-01	-0.37651932
2000-06-01	-0.58995885
2000-07-01	-0.6163836
2000-08-01	-0.4798861
2000-09-01	-0.3185139
2000-10-01	-0.50036097
2000-11-01	-0.7143683
2000-12-01	-0.66838527
2001-01-01	-0.4253793
2001-02-01	-0.29311562
2001-03-01	-0.016866831
2001-04-01	-0.12421683
2001-05-01	-0.14732264
2001-06-01	-0.2857668
2001-07-01	-0.2685756
2001-08-01	-0.22445782
2001-09-01	-0.5916091
2001-10-01	-0.4347442
2001-11-01	-0.67850876
2001-12-01	-0.61902094
2002-01-01	-0.4858749
2002-02-01	-0.23143972
2002-03-01	0.15232974
2002-04-01	0.016055826
2002-05-01	0.2667288
2002-06-01	0.56734335
2002-07-01	0.37956858
2002-08-01	0.51245373
2002-09-01	0.8591399
2002-10-01	0.9882524
2002-11-01	1.3010613
2002-12-01	1.2104311
2003-01-01	0.5705523
2003-02-01	0.44172865
2003-03-01	0.19379108
2003-04-01	-0.4372925
2003-05-01	-0.95259815
2003-06-01	-0.58797723
2003-07-01	0.10746042
2003-08-01	0.25547868
2003-09-01	0.14353192
2003-10-01	0.39797348
2003-11-01	0.6364554
2003-12-01	0.76373774
2004-01-01	0.41346395
2004-02-01	0.29017645
2004-03-01	0.11879322
2004-04-01	-0.07091911
2004-05-01	-0.46435675
2004-06-01	-0.2695528
2004-07-01	-0.024832683
2004-08-01	0.2342237
2004-09-01	0.44608375
2004-10-01	0.5391449
2004-11-01	0.6336146
2004-12-01	0.6859313
2005-01-01	0.32585573
2005-02-01	-0.09939492
2005-03-01	-0.08168727
2005-04-01	-0.051536202
2005-05-01	0.15864429
2005-06-01	0.05586404
2005-07-01	0.09664645
2005-08-01	0.17235301
2005-09-01	-0.0871655
2005-10-01	-0.35686207
2005-11-01	-1.1322982
2005-12-01	-1.2162029
2006-01-01	-0.8047305
2006-02-01	-0.34610063
2006-03-01	-0.54950917
2006-04-01	-0.43108657
2006-05-01	-0.08134287
2006-06-01	-0.008879569
2006-07-01	0.01797862
2006-08-01	0.39558956
2006-09-01	0.82868433
2006-10-01	0.8811423
2006-11-01	0.9948483
2006-12-01	1.1350678
2007-01-01	0.8686138
2007-02-01	0.08500569
2007-03-01	-0.3972743
2007-04-01	-0.63022244
2007-05-01	-0.8871694
2007-06-01	-0.7275198
2007-07-01	-0.95294327
2007-08-01	-1.1747247
2007-09-01	-1.2620819
2007-10-01	-1.4283309
2007-11-01	-1.612873
2007-12-01	-1.6541315
2008-01-01	-1.4539216
2008-02-01	-1.2284471
2008-03-01	-0.7440485
2008-04-01	-0.45362002
2008-05-01	-0.25120643
2008-06-01	-0.15965529
2008-07-01	0.2738487
2008-08-01	0.49954548
2008-09-01	0.29646352
2008-10-01	0.0871677
2008-11-01	-0.12860478
2008-12-01	-0.57039195
2009-01-01	-0.50771433
2009-02-01	-0.575976
2009-03-01	-0.7144993
2009-04-01	-0.16136284
2009-05-01	0.28439128
2009-06-01	0.55619967
2009-07-01	0.68779576
2009-08-01	0.7989892
2009-09-01	0.78139895
2009-10-01	0.7759424
2009-11-01	1.080467
2009-12-01	1.323744
2010-01-01	1.0737807
2010-02-01	0.8772658
2010-03-01	0.55286807
2010-04-01	0.27469522
2010-05-01	-0.16241705
2010-06-01	-0.69503105
2010-07-01	-1.0129023
2010-08-01	-1.1497637
2010-09-01	-1.2962407
2010-10-01	-1.4833387
2010-11-01	-1.5139871
2010-12-01	-1.4950231
2011-01-01	-1.2549155
2011-02-01	-0.7681503
2011-03-01	-0.73248345
2011-04-01	-0.3318576
2011-05-01	-0.28888947
2011-06-01	-0.117450885
2011-07-01	-0.20218623
2011-08-01	-0.39017773
2011-09-01	-0.6145696
2011-10-01	-1.0616853
2011-11-01	-1.120192
2011-12-01	-0.92512465
2012-01-01	-0.56178296
2012-02-01	-0.19105797
2012-03-01	-0.18495704
2012-04-01	-0.022256617
2012-05-01	0.08366152
2012-06-01	0.42854726
2012-07-01	0.55002284
2012-08-01	0.50718766
2012-09-01	0.32930976
2012-10-01	0.009181582
2012-11-01	-0.024559943
2012-12-01	-0.4287576
2013-01-01	-0.656952
2013-02-01	-0.56467205
2013-03-01	-0.1341676
2013-04-01	-0.36743444
2013-05-01	-0.8248012
2013-06-01	-0.8968069
2013-07-01	-0.70866996
2013-08-01	-0.6530114
2013-09-01	-0.32883307
2013-10-01	-0.20212564
2013-11-01	-0.20133263
2013-12-01	-0.13873076
2014-01-01	-0.42844927
2014-02-01	-0.77154905
2014-03-01	-0.31340995
2014-04-01	0.05787815
2014-05-01	0.39231834
2014-06-01	0.539185
2014-07-01	0.31493512
2014-08-01	0.19288544
2014-09-01	0.37240833
2014-10-01	0.5791458
2014-11-01	0.7728925
2014-12-01	0.6838048
2015-01-01	0.34887087
2015-02-01	0.06158082
2015-03-01	0.10812892
2015-04-01	0.63492674
2015-05-01	0.952878
2015-06-01	1.4606247
2015-07-01	1.8565961
2015-08-01	2.0700157
2015-09-01	2.4905026
2015-10-01	2.6048615
2015-11-01	2.8281934
2015-12-01	2.8196328
2016-01-01	2.5871418
2016-02-01	1.9764719
2016-03-01	1.54394
2016-04-01	0.6286775
2016-05-01	-0.010797513
2016-06-01	-0.12373875
2016-07-01	-0.60065144
2016-08-01	-0.5134534
2016-09-01	-0.24211647
2016-10-01	-0.54784495
2016-11-01	-0.6082938
2016-12-01	-0.46609867
2017-01-01	-0.07143464
2017-02-01	0.42325866
2017-03-01	0.36002156
2017-04-01	0.45513532
2017-05-01	0.28642884
2017-06-01	0.06833016
2017-07-01	0.045380846
2017-08-01	-0.24101149
2017-09-01	-0.7131363
2017-10-01	-0.7079064
2017-11-01	-1.0767137
2017-12-01	-1.2234505
2018-01-01	-1.1737834
2018-02-01	-0.89639777
2018-03-01	-0.92762333
2018-04-01	-0.6231809
2018-05-01	-0.3319748
2018-06-01	0.0063040704
2018-07-01	0.1211342
2018-08-01	-0.04798232
2018-09-01	0.35817084
2018-10-01	0.7493409
2018-11-01	0.8973821
2018-12-01	0.9170339
2019-01-01	0.6007816
2019-02-01	0.5896326
2019-03-01	0.6314297
2019-04-01	0.5473108
2019-05-01	0.49452057
2019-06-01	0.19881555
2019-07-01	-0.09806814
2019-08-01	-0.32071355
2019-09-01	-0.26508975
2019-10-01	0.14670932
2019-11-01	0.32364842
2019-12-01	0.24573782
2020-01-01	0.21957865
2020-02-01	0.10093407
2020-03-01	0.20307703
2020-04-01	0.27329692
2020-05-01	-0.32547793
2020-06-01	-0.6845267
2020-07-01	-0.5919798
2020-08-01	-0.62149674
2020-09-01	-0.9934722
2020-10-01	-1.0930879
2020-11-01	-1.195534
2020-12-01	-0.8239186
2021-01-01	-0.6245314
2021-02-01	-0.73267925
2021-03-01	-0.69132733
2021-04-01	-0.7934097
2021-05-01	-0.56631625
2021-06-01	-0.32724088
2021-07-01	-0.31734142
2021-08-01	-0.45538676
2021-09-01	-0.4407824
2021-10-01	-0.75475705
2021-11-01	-1.0274627
2021-12-01	-1.2827665
2022-01-01	-1.302356
2022-02-01	-1.1445708
2022-03-01	-0.73434687
2022-04-01	-0.92318904
2022-05-01	-1.05315
2022-06-01	-0.8158
2022-07-01	-0.54109204
2022-08-01	-0.6746053
2022-09-01	-0.96392477
2022-10-01	-1.1148682
2022-11-01	-0.9456976
2022-12-01	-0.80872726
2023-01-01	-0.57219195
2023-02-01	-0.09896482
2023-03-01	0.30326146
2023-04-01	0.48579347
2023-05-01	0.84974897
2023-06-01	1.2669835
2023-07-01	1.6147565
2023-08-01	2.0093243
2023-09-01	2.10048
2023-10-01	2.1476574
2023-11-01	2.1034367
2023-12-01	2.0179381
2024-01-01	1.8479928
2024-02-01	1.5147623
2024-03-01	0.82452935
2024-04-01	0.49438778
2024-05-01	-0.19381125
2024-06-01	-0.2703063
2024-07-01	-0.14317748
2024-08-01	-0.28949073
2024-09-01	-0.19874473
2024-10-01	-0.15649551
2024-11-01	-0.16079186
2024-12-01	-0.39055836
2025-01-01	-0.28973126
2025-02-01	-0.0214733
2025-03-01	0.46185395
2025-04-01	0.05712477
2025-05-01	-0.1343755
2025-06-01	-0.05618782
2025-07-01	0.030792667
2025-08-01	-0.20659903
2025-09-01	-0.50429016
2025-10-01	-0.44792113
