time	SASAI
1997-04-01	1.6140169
1997-05-01	0.506001
1997-06-01	2.5293503
1997-07-01	2.0704126
1997-08-01	0.07681999
1997-09-01	-0.1664653
1997-10-01	0.040808868
1997-11-01	-0.21183424
1997-12-01	2.2886288
1998-01-01	0.21173327
1998-02-01	-1.3413329
1998-03-01	-0.03983269
1998-04-01	0.92262703
1998-05-01	-0.508961
1998-06-01	-0.87284654
1998-07-01	-0.13334572
1998-08-01	-1.4662338
1998-09-01	-0.86310035
1998-10-01	-0.56402236
1998-11-01	-0.8336107
1998-12-01	0.79497254
1999-01-01	-1.1621907
1999-02-01	0.17255628
1999-03-01	0.016495362
1999-04-01	-1.390084
1999-05-01	-0.6703337
1999-06-01	-1.7805682
1999-07-01	-0.96059966
1999-08-01	0.8387996
1999-09-01	0.65280676
1999-10-01	-1.9422386
1999-11-01	-0.7577213
1999-12-01	-0.4639232
2000-01-01	-0.81318355
2000-02-01	-0.6550389
2000-03-01	-0.44504166
2000-04-01	0.2181684
2000-05-01	0.278008
2000-06-01	1.7250825
2000-07-01	0.038267974
2000-08-01	0.015452576
2000-09-01	0.2488628
2000-10-01	0.09183726
2000-11-01	-0.16296229
2000-12-01	0.32129768
2001-01-01	1.5591909
2001-02-01	0.34570023
2001-03-01	1.1695158
2001-04-01	0.38297433
2001-05-01	-0.77397656
2001-06-01	-0.9549577
2001-07-01	0.6858519
2001-08-01	2.1018195
2001-09-01	-0.41374278
2001-10-01	1.8322388
2001-11-01	0.07239239
2001-12-01	-1.2583587
2002-01-01	-0.5815817
2002-02-01	-0.17717305
2002-03-01	2.6806424
2002-04-01	0.36518505
2002-05-01	1.1971886
2002-06-01	-1.2638928
2002-07-01	-0.78743255
2002-08-01	2.071257
2002-09-01	1.107615
2002-10-01	1.4985452
2002-11-01	2.318051
2002-12-01	-0.7194214
2003-01-01	0.67660606
2003-02-01	2.6770322
2003-03-01	0.23487732
2003-04-01	0.33307543
2003-05-01	1.1853021
2003-06-01	-0.5057103
2003-07-01	-0.14821923
2003-08-01	-2.2267106
2003-09-01	-0.15825944
2003-10-01	0.3662171
2003-11-01	1.4324133
2003-12-01	0.45406166
2004-01-01	-1.2080088
2004-02-01	-1.3647007
2004-03-01	-0.57761896
2004-04-01	1.3202186
2004-05-01	-2.5656393
2004-06-01	1.105484
2004-07-01	-0.31991842
2004-08-01	-0.038743593
2004-09-01	0.44787976
2004-10-01	0.43720162
2004-11-01	-0.08322851
2004-12-01	-1.221969
2005-01-01	0.33221802
2005-02-01	-1.9995422
2005-03-01	-0.19847487
2005-04-01	-0.69808006
2005-05-01	2.4141614
2005-06-01	0.6152951
2005-07-01	0.11557617
2005-08-01	0.48590398
2005-09-01	-2.2805915
2005-10-01	-1.1860375
2005-11-01	-0.010784264
2005-12-01	-1.2010863
2006-01-01	0.15748653
2006-02-01	-0.7736743
2006-03-01	0.40450478
2006-04-01	-0.98791504
2006-05-01	-2.9473248
2006-06-01	0.5452489
2006-07-01	1.9746226
2006-08-01	0.20217475
2006-09-01	0.60124755
2006-10-01	0.4518514
2006-11-01	-0.94520646
2006-12-01	1.3113685
2007-01-01	0.43539998
2007-02-01	1.0204244
2007-03-01	1.5936362
2007-04-01	0.02574501
2007-05-01	-1.3040822
2007-06-01	1.0005933
2007-07-01	-0.52136695
2007-08-01	-1.1915529
2007-09-01	1.2560459
2007-10-01	1.1732768
2007-11-01	-0.04151741
2007-12-01	-0.44299442
2008-01-01	-1.4608115
2008-02-01	-0.6282825
2008-03-01	-0.40867046
2008-04-01	0.16421463
2008-05-01	-0.33421013
2008-06-01	-1.2962962
2008-07-01	1.3841596
2008-08-01	-0.17055206
2008-09-01	-2.0499601
2008-10-01	-0.76167035
2008-11-01	-1.3906735
2008-12-01	-2.1990125
2009-01-01	-1.3118993
2009-02-01	0.37093666
2009-03-01	-0.12549073
2009-04-01	-1.3154641
2009-05-01	1.4250165
2009-06-01	-1.4510211
2009-07-01	-1.1294924
2009-08-01	0.65879804
2009-09-01	-1.0653595
2009-10-01	-0.48530656
2009-11-01	2.9462094
2009-12-01	-0.9644087
2010-01-01	1.0882272
2010-02-01	1.5006415
2010-03-01	0.13084473
2010-04-01	-1.5993153
2010-05-01	-2.310478
2010-06-01	-0.74149466
2010-07-01	0.6120685
2010-08-01	-1.7697327
2010-09-01	0.96886575
2010-10-01	-1.8047533
2010-11-01	-0.8534709
2010-12-01	-1.0271645
2011-01-01	0.16952911
2011-02-01	-1.3757809
2011-03-01	-1.8539544
2011-04-01	0.35859525
2011-05-01	-1.6129466
2011-06-01	-0.17185394
2011-07-01	-0.50895536
2011-08-01	-0.5965513
