time	NIN04
1980-01-01	0.36202615
1980-02-01	0.3553795
1980-03-01	0.18819228
1980-04-01	0.12867771
1980-05-01	0.25196826
1980-06-01	0.15269056
1980-07-01	0.016292043
1980-08-01	-0.29739937
1980-09-01	-0.27142105
1980-10-01	-0.028948829
1980-11-01	-0.022887627
1980-12-01	-0.030090302
1981-01-01	-0.12799336
1981-02-01	-0.17449598
1981-03-01	-0.17885394
1981-04-01	-0.51966906
1981-05-01	-0.55677277
1981-06-01	-0.58894783
1981-07-01	-0.72471243
1981-08-01	-0.7012949
1981-09-01	-0.39150813
1981-10-01	-0.378245
1981-11-01	-0.30370212
1981-12-01	-0.083351195
1982-01-01	-0.027490601
1982-02-01	-0.17762299
1982-03-01	0.07144743
1982-04-01	0.32025668
1982-05-01	0.3860553
1982-06-01	0.43816212
1982-07-01	0.12673679
1982-08-01	0.08345874
1982-09-01	0.33450556
1982-10-01	0.6751897
1982-11-01	0.56935537
1982-12-01	0.51843566
1983-01-01	0.404427
1983-02-01	0.33403996
1983-03-01	0.22568464
1983-04-01	0.044135064
1983-05-01	0.16059802
1983-06-01	-0.004690933
1983-07-01	-0.26993302
1983-08-01	-0.40505552
1983-09-01	-0.7740264
1983-10-01	-0.890662
1983-11-01	-1.0121373
1983-12-01	-0.81912625
1984-01-01	-0.8143773
1984-02-01	-0.69822586
1984-03-01	-0.8355384
1984-04-01	-0.8696779
1984-05-01	-0.7807333
1984-06-01	-0.77627516
1984-07-01	-0.59074086
1984-08-01	-0.61440885
1984-09-01	-0.53118324
1984-10-01	-0.7327018
1984-11-01	-0.90851027
1984-12-01	-0.9527227
1985-01-01	-0.6429638
1985-02-01	-0.7051993
1985-03-01	-1.0066566
1985-04-01	-1.1377475
1985-05-01	-0.9775787
1985-06-01	-0.9407991
1985-07-01	-0.71342057
1985-08-01	-0.57354313
1985-09-01	-0.48230672
1985-10-01	-0.39444527
1985-11-01	-0.34625936
1985-12-01	-0.2307543
1986-01-01	-0.24941371
1986-02-01	-0.23604223
1986-03-01	-0.1657053
1986-04-01	-0.34257895
1986-05-01	-0.33215314
1986-06-01	-0.20344925
1986-07-01	-0.085469715
1986-08-01	0.05632346
1986-09-01	0.20949206
1986-10-01	0.23066606
1986-11-01	0.37108517
1986-12-01	0.3174112
1987-01-01	0.29706708
1987-02-01	0.49931505
1987-03-01	0.46479368
1987-04-01	0.07772785
1987-05-01	0.18165241
1987-06-01	0.39443153
1987-07-01	0.4765746
1987-08-01	0.58492523
1987-09-01	0.7667153
1987-10-01	0.8015682
1987-11-01	0.81021065
1987-12-01	0.7498552
1988-01-01	0.63851535
1988-02-01	0.44136107
1988-03-01	0.13885774
1988-04-01	-0.3571512
1988-05-01	-0.62326676
1988-06-01	-0.88557416
1988-07-01	-0.9382571
1988-08-01	-0.7681124
1988-09-01	-0.9166646
1988-10-01	-1.6276313
1988-11-01	-1.7148433
1988-12-01	-1.7564274
1989-01-01	-1.7092276
1989-02-01	-1.5196357
1989-03-01	-1.147318
1989-04-01	-1.00615
1989-05-01	-0.78814125
1989-06-01	-0.9114267
1989-07-01	-0.83520204
1989-08-01	-0.7572802
1989-09-01	-0.49409193
1989-10-01	-0.44370937
1989-11-01	-0.53707135
1989-12-01	-0.12061773
1990-01-01	0.15125105
1990-02-01	0.36939088
1990-03-01	0.3001506
1990-04-01	0.11284234
1990-05-01	-0.062226016
1990-06-01	-0.054022025
1990-07-01	0.022081552
1990-08-01	0.12816587
1990-09-01	0.21639585
1990-10-01	0.38357303
1990-11-01	0.48618126
1990-12-01	0.63142186
1991-01-01	0.5689483
1991-02-01	0.5235046
1991-03-01	0.3253662
1991-04-01	0.3381505
1991-05-01	0.44690257
1991-06-01	0.3768786
1991-07-01	0.44293055
1991-08-01	0.4677865
1991-09-01	0.3209237
1991-10-01	0.6892455
1991-11-01	0.6801993
1991-12-01	0.8047077
1992-01-01	0.6182542
1992-02-01	0.87992716
1992-03-01	0.6339187
1992-04-01	0.45639673
1992-05-01	0.30916062
1992-06-01	0.26305
1992-07-01	0.295375
1992-08-01	0.13343753
1992-09-01	0.090088814
1992-10-01	-0.008381403
1992-11-01	-0.018486096
1992-12-01	0.0612762
1993-01-01	0.21056274
1993-02-01	0.09725946
1993-03-01	0.044307064
1993-04-01	0.03258758
1993-05-01	0.059623543
1993-06-01	0.028892223
1993-07-01	0.061964914
1993-08-01	0.113911875
1993-09-01	0.28156415
1993-10-01	0.0024829865
1993-11-01	0.08304561
1993-12-01	0.17433758
1994-01-01	0.10472239
1994-02-01	-0.055745285
1994-03-01	0.055132367
1994-04-01	0.11363854
1994-05-01	0.22228903
1994-06-01	0.25724798
1994-07-01	0.48558542
1994-08-01	0.6974378
1994-09-01	0.52724814
1994-10-01	0.67563266
1994-11-01	0.73188055
1994-12-01	0.90267235
1995-01-01	0.7085299
1995-02-01	0.70448804
1995-03-01	0.69280434
1995-04-01	0.50694245
1995-05-01	0.38139415
1995-06-01	0.19790648
1995-07-01	0.027528865
1995-08-01	-0.14352968
1995-09-01	-0.3513459
1995-10-01	-0.44808745
1995-11-01	-0.58677113
1995-12-01	-0.49370328
1996-01-01	-0.46620336
1996-02-01	-0.51671964
1996-03-01	-0.39917204
1996-04-01	-0.4538209
1996-05-01	-0.4503382
1996-06-01	-0.48108792
1996-07-01	-0.4494828
1996-08-01	-0.3147589
1996-09-01	-0.3621871
1996-10-01	-0.30901065
1996-11-01	-0.22445965
1996-12-01	-0.18486646
1997-01-01	0.00729913
1997-02-01	0.18075484
1997-03-01	0.22678298
1997-04-01	0.57758796
1997-05-01	0.5171741
1997-06-01	0.26128852
1997-07-01	0.4714445
1997-08-01	0.49561122
1997-09-01	0.6711042
1997-10-01	0.5838507
1997-11-01	0.6961406
1997-12-01	0.578627
1998-01-01	0.63947904
1998-02-01	0.59361047
1998-03-01	0.29484782
1998-04-01	-0.06520769
1998-05-01	-0.25454128
1998-06-01	-0.7059481
1998-07-01	-0.7828435
1998-08-01	-1.0143665
1998-09-01	-1.0143493
1998-10-01	-1.33075
1998-11-01	-1.4394975
1998-12-01	-1.4648781
1999-01-01	-1.6615174
1999-02-01	-1.6259317
1999-03-01	-1.3300105
1999-04-01	-1.2015266
1999-05-01	-1.0245419
1999-06-01	-1.0081425
1999-07-01	-1.1331139
1999-08-01	-1.0894147
1999-09-01	-0.9594521
1999-10-01	-0.9614745
1999-11-01	-1.2668246
1999-12-01	-1.3512306
2000-01-01	-1.3235546
2000-02-01	-1.450812
2000-03-01	-1.4142097
2000-04-01	-1.4100013
2000-05-01	-1.275951
2000-06-01	-0.9010717
2000-07-01	-0.7251336
2000-08-01	-0.61531365
2000-09-01	-0.48393536
2000-10-01	-0.63996017
2000-11-01	-0.75722665
2000-12-01	-0.9367528
2001-01-01	-0.87344104
2001-02-01	-0.81293046
2001-03-01	-0.6971774
2001-04-01	-0.57895726
2001-05-01	-0.38794804
2001-06-01	-0.17362104
2001-07-01	0.08186848
2001-08-01	0.047518466
2001-09-01	0.20520036
2001-10-01	0.17831023
2001-11-01	0.07201249
2001-12-01	0.11108907
2002-01-01	0.38060385
2002-02-01	0.44543827
2002-03-01	0.24530542
2002-04-01	0.39820942
2002-05-01	0.59744006
2002-06-01	0.63584405
2002-07-01	0.61886805
2002-08-01	0.6279949
2002-09-01	0.60918915
2002-10-01	0.64802265
2002-11-01	0.8469143
2002-12-01	0.83510566
2003-01-01	0.56022364
2003-02-01	0.6785697
2003-03-01	0.59544545
2003-04-01	0.32904336
2003-05-01	-0.054433703
2003-06-01	0.09491665
2003-07-01	0.18812108
2003-08-01	0.1925621
2003-09-01	0.17628759
2003-10-01	0.36391196
2003-11-01	0.36842242
2003-12-01	0.42949525
2004-01-01	0.421997
2004-02-01	0.37567118
2004-03-01	0.103447944
2004-04-01	0.088768154
2004-05-01	0.107896365
2004-06-01	0.21955168
2004-07-01	0.41463932
2004-08-01	0.54572666
2004-09-01	0.67626065
2004-10-01	0.6926273
2004-11-01	0.747975
2004-12-01	0.86030626
2005-01-01	0.86759573
2005-02-01	0.6627336
2005-03-01	0.6026702
2005-04-01	0.41226047
2005-05-01	0.28744906
2005-06-01	0.16085409
2005-07-01	-0.11161138
2005-08-01	-0.054739278
2005-09-01	0.028080646
2005-10-01	0.089696914
2005-11-01	-0.14163943
2005-12-01	-0.25526682
2006-01-01	-0.49322298
2006-02-01	-0.6679526
2006-03-01	-0.58146745
2006-04-01	-0.33000398
2006-05-01	-0.057655305
2006-06-01	0.06725782
2006-07-01	0.19464251
2006-08-01	0.41358185
2006-09-01	0.6277862
2006-10-01	0.6735955
2006-11-01	0.90297127
2006-12-01	0.9083313
2007-01-01	0.64990216
2007-02-01	0.4528544
2007-03-01	0.3310768
2007-04-01	0.09682174
2007-05-01	-0.08234637
2007-06-01	-0.07198125
2007-07-01	-0.2218552
2007-08-01	-0.30434114
2007-09-01	-0.6394965
2007-10-01	-0.84350467
2007-11-01	-1.0799382
2007-12-01	-1.1061952
2008-01-01	-1.4427204
2008-02-01	-1.5642031
2008-03-01	-1.3407987
2008-04-01	-1.1507112
2008-05-01	-1.0962459
2008-06-01	-1.001227
2008-07-01	-0.81557584
2008-08-01	-0.7292425
2008-09-01	-0.6689149
2008-10-01	-0.5803339
2008-11-01	-0.7061901
2008-12-01	-0.7953941
2009-01-01	-0.9298984
2009-02-01	-0.8356369
2009-03-01	-0.57787454
2009-04-01	-0.26000878
2009-05-01	-0.008855042
2009-06-01	0.17622758
2009-07-01	0.2897736
2009-08-01	0.44380412
2009-09-01	0.56539965
2009-10-01	0.90487546
2009-11-01	1.1155413
2009-12-01	1.1724343
2010-01-01	1.1082162
2010-02-01	0.8749562
2010-03-01	0.73733157
2010-04-01	0.49620184
2010-05-01	0.09424829
2010-06-01	-0.30715954
2010-07-01	-0.7871245
2010-08-01	-1.2413347
2010-09-01	-1.4296938
2010-10-01	-1.5955637
2010-11-01	-1.5727212
2010-12-01	-1.4328855
2011-01-01	-1.3838706
2011-02-01	-1.0369315
2011-03-01	-0.7972416
2011-04-01	-0.72775364
2011-05-01	-0.5582035
2011-06-01	-0.49850488
2011-07-01	-0.47308767
2011-08-01	-0.6263523
2011-09-01	-0.7497354
2011-10-01	-0.89441854
2011-11-01	-0.8890774
2011-12-01	-0.9990503
2012-01-01	-1.0117736
2012-02-01	-0.91112256
2012-03-01	-0.76857626
2012-04-01	-0.5957927
2012-05-01	-0.51438624
2012-06-01	-0.384381
2012-07-01	-0.2603259
2012-08-01	0.076028384
2012-09-01	0.2047745
2012-10-01	0.30366233
2012-11-01	0.2934279
2012-12-01	0.048046507
2013-01-01	-0.0870264
2013-02-01	-0.19879356
2013-03-01	-0.37758198
2013-04-01	-0.27792376
2013-05-01	-0.23360844
2013-06-01	-0.20616639
2013-07-01	-0.24477184
2013-08-01	-0.18206985
2013-09-01	-0.121025115
2013-10-01	-0.053263474
2013-11-01	0.031991813
2013-12-01	-0.06435246
2014-01-01	-0.18302847
2014-02-01	0.062672675
2014-03-01	0.26940465
2014-04-01	0.33945802
2014-05-01	0.5180664
2014-06-01	0.3839898
2014-07-01	0.13533859
2014-08-01	0.24645163
2014-09-01	0.393129
2014-10-01	0.47116882
2014-11-01	0.71839106
2014-12-01	0.7499569
2015-01-01	0.75022405
2015-02-01	0.8693169
2015-03-01	0.8890565
2015-04-01	0.9740465
