time	TNA
1996-12-01	-0.34217122
1997-01-01	0.0194644
1997-02-01	0.14056756
1997-03-01	0.026736105
1997-04-01	0.08698204
1997-05-01	0.16503148
1997-06-01	0.16568175
1997-07-01	-0.09687918
1997-08-01	-0.29471186
1997-09-01	-0.12069201
1997-10-01	0.05064313
1997-11-01	0.1299686
1997-12-01	0.03538381
1998-01-01	0.06251951
1998-02-01	0.53113955
1998-03-01	0.46989557
1998-04-01	0.3842057
1998-05-01	0.25763023
1998-06-01	0.34296578
1998-07-01	0.0786063
1998-08-01	0.19951375
1998-09-01	-0.11624733
1998-10-01	-0.04660177
1998-11-01	-0.039455064
1998-12-01	-0.14651722
1999-01-01	-0.61172795
1999-02-01	-0.44034678
1999-03-01	-0.5927612
1999-04-01	-0.5146711
1999-05-01	-0.27979922
1999-06-01	-0.24957682
1999-07-01	-0.24578106
1999-08-01	-0.18501244
1999-09-01	-0.055900995
1999-10-01	-0.25799027
1999-11-01	-0.17255744
1999-12-01	0.0024609105
2000-01-01	-0.40661547
2000-02-01	-0.24779536
2000-03-01	0.010646892
2000-04-01	-0.16606294
2000-05-01	-0.35642397
2000-06-01	-0.33671767
2000-07-01	-0.29054725
2000-08-01	-0.31786174
2000-09-01	-0.47414014
2000-10-01	-0.4850045
2000-11-01	-0.6204441
2000-12-01	-0.6745378
2001-01-01	-0.50714177
2001-02-01	-0.29710108
2001-03-01	0.047424253
2001-04-01	-0.21105716
2001-05-01	-0.12530923
2001-06-01	-0.12682164
2001-07-01	-0.033725943
2001-08-01	-0.11210429
2001-09-01	-0.007413618
2001-10-01	-0.09035326
2001-11-01	0.2371434
2001-12-01	0.39596307
2002-01-01	0.67433476
2002-02-01	0.4954108
2002-03-01	0.33291808
2002-04-01	-0.13090856
2002-05-01	-0.44182032
2002-06-01	-0.3760707
2002-07-01	-0.6058848
2002-08-01	-0.4718591
2002-09-01	-0.37797895
2002-10-01	-0.10061036
2002-11-01	-0.121299736
2002-12-01	-0.269018
2003-01-01	-0.13155288
2003-02-01	-0.4005152
2003-03-01	-0.31549245
2003-04-01	-0.34550607
2003-05-01	-0.15968436
2003-06-01	-0.185135
2003-07-01	0.04420216
2003-08-01	0.28969848
2003-09-01	0.3249656
2003-10-01	0.49060452
2003-11-01	0.18647127
2003-12-01	0.282168
2004-01-01	0.334468
2004-02-01	0.38966683
2004-03-01	0.26055235
2004-04-01	0.27411708
2004-05-01	-0.10531376
2004-06-01	-0.060103107
2004-07-01	0.1177284
2004-08-01	0.23374635
2004-09-01	0.30915186
2004-10-01	0.2673331
2004-11-01	0.38155335
2004-12-01	0.4413205
2005-01-01	0.41843382
2005-02-01	0.23339303
2005-03-01	0.6783629
2005-04-01	0.8331514
2005-05-01	0.9322679
2005-06-01	0.7863879
2005-07-01	0.67561656
2005-08-01	0.42946634
2005-09-01	0.39588964
2005-10-01	0.14308931
2005-11-01	0.16511787
2005-12-01	0.42364207
2006-01-01	0.24658252
2006-02-01	0.020015184
2006-03-01	-0.037310578
2006-04-01	0.25665545
2006-05-01	0.1405845
2006-06-01	0.11697107
2006-07-01	0.094428204
2006-08-01	0.15192325
2006-09-01	0.21240427
2006-10-01	0.2519866
2006-11-01	0.39464724
2006-12-01	0.18791641
2007-01-01	0.27142465
2007-02-01	0.44157624
2007-03-01	0.19012398
2007-04-01	0.22605257
2007-05-01	-0.02688495
2007-06-01	-0.21638706
2007-07-01	-0.28908688
2007-08-01	-0.37731442
2007-09-01	-0.34899947
2007-10-01	-0.25257772
2007-11-01	-0.21098468
2007-12-01	-0.21427314
2008-01-15	-0.027386758
2008-02-15	0.107911035
2008-03-15	0.22298437
2008-04-15	0.027679432
2008-05-15	0.10459138
2008-06-15	0.22538401
2008-07-15	0.23614453
2008-08-15	0.16177475
2008-09-15	0.2337726
2008-10-15	0.16441885
2008-11-15	0.04305895
2008-12-15	0.0249421
2009-01-15	-0.20232084
2009-02-15	-0.5433035
2009-03-15	-0.55489963
2009-04-15	-0.50197285
2009-05-15	-0.45163324
2009-06-15	-0.24284498
2009-07-15	0.1296625
2009-08-15	0.1105827
2009-09-15	0.10546515
2009-10-15	0.21375829
2009-11-15	0.1532589
2009-12-15	0.24245094
2010-01-15	0.5094197
2010-02-15	0.85228944
2010-03-15	1.1981331
2010-04-15	1.356734
2010-05-15	1.2399483
2010-06-15	0.9946688
2010-07-15	0.8964914
2010-08-15	0.7611378
2010-09-15	0.4960256
2010-10-15	0.3899418
2010-11-15	0.5777194
2010-12-15	0.8051725
2011-01-15	0.81519884
2011-02-15	0.45388377
2011-03-15	0.2911305
2011-04-15	0.28806105
2011-05-15	0.3049917
2011-06-15	0.49141985
2011-07-15	0.2888812
2011-08-15	0.17285165
2011-09-15	0.018538978
2011-10-15	0.07158705
2011-11-15	-0.08305044
2011-12-15	-0.033054095
2012-01-15	-0.17723723
2012-02-15	-0.24549086
2012-03-15	-0.37065008
2012-04-15	-0.21973637
2012-05-15	-0.08790654
2012-06-15	-0.00961034
2012-07-15	0.19448459
2012-08-15	0.2088724
2012-09-15	0.46687588
2012-10-15	0.41243124
2012-11-15	0.49051484
2012-12-15	0.37108925
2013-01-15	0.15421982
2013-02-15	0.16328666
2013-03-15	0.5553875
2013-04-15	0.38538885
2013-05-15	0.56322503
2013-06-15	0.308521
2013-07-15	0.25546908
2013-08-15	0.27559784
2013-09-15	0.26581115
2013-10-15	0.20631397
2013-11-15	-0.020423489
2013-12-15	0.01975361
2014-01-15	-0.22130398
2014-02-15	-0.3573431
2014-03-15	-0.5577688
2014-04-15	-0.42430246
2014-05-15	-0.29802215
2014-06-15	-0.21822345
2014-07-15	-0.18506117
2014-08-15	-0.16937856
2014-09-15	0.15159799
2014-10-15	0.24272336
2014-11-15	0.03946646
2014-12-15	0.054748558
2015-01-15	-0.17583701
2015-02-15	-0.12416527
2015-03-15	-0.27958387
2015-04-15	-0.41828337
2015-05-15	-0.15079947
2015-06-15	-0.18044533
2015-07-15	-0.014733325
2015-08-15	0.22261027
2015-09-15	0.40214705
2015-10-15	0.4817404
2015-11-15	0.3109523
2015-12-15	0.15746285
2016-01-15	0.35992956
2016-02-15	0.3848537
2016-03-15	0.26121023
2016-04-15	0.15695821
2016-05-15	0.14751883
2016-06-15	0.10708697
2016-07-15	0.17142102
2016-08-15	0.23683988
2016-09-15	0.1533113
2016-10-15	0.16123877
2016-11-15	0.22676265
2016-12-15	0.2314959
2017-01-15	0.3799892
2017-02-15	0.18251304
2017-03-15	0.08863961
2017-04-15	0.36899748
2017-05-15	0.59525824
2017-06-15	0.61736405
2017-07-15	0.5796934
2017-08-15	0.5909031
2017-09-15	0.3674358
2017-10-15	0.19026358
2017-11-15	0.41635972
2017-12-15	0.30706272
2018-01-15	0.031287614
2018-02-15	-0.37257364
2018-03-15	-0.16345908
2018-04-15	-0.37543955
2018-05-15	-0.56703705
2018-06-15	-0.7873701
2018-07-15	-0.57010466
2018-08-15	-0.19898039
2018-09-15	-0.31717116
2018-10-15	-0.029759541
2018-11-15	-0.28271002
2018-12-15	-0.24593925
2019-01-15	-0.22394353
2019-02-15	-0.031629615
2019-03-15	-0.19183911
2019-04-15	-0.25760686
2019-05-15	-0.19048734
2019-06-15	0.06312905
2019-07-15	-0.08201954
2019-08-15	-0.020070711
2019-09-15	0.12782004
2019-10-15	0.036532074
2019-11-15	-0.073868915
2019-12-15	-0.1291465
2020-01-15	0.08634126
2020-02-15	0.4498773
2020-03-15	0.62019306
2020-04-15	0.5387427
2020-05-15	0.34471357
2020-06-15	0.5220668
2020-07-15	0.47168714
2020-08-15	0.3327589
2020-09-15	0.24963352
2020-10-15	0.2255267
2020-11-15	0.22097346
2020-12-15	0.2124041
2021-01-15	0.25108224
2021-02-15	0.14367221
2021-03-15	-0.026667133
2021-04-15	0.18892454
2021-05-15	0.012154917
2021-06-15	-0.038483333
2021-07-15	0.039574776
2021-08-15	0.07616893
2021-09-15	0.22193745
2021-10-15	0.06840501
2021-11-15	0.28879938
2021-12-15	0.18624015
2022-01-15	0.37896955
2022-02-15	0.5043925
2022-03-15	-0.08930678
2022-04-15	-0.15961827
2022-05-15	0.19542259
2022-06-15	0.331288
2022-07-15	0.15271814
2022-08-15	0.19777064
2022-09-15	0.25821
2022-10-15	0.16951962
2022-11-15	0.010922668
2022-12-15	0.09057184
2023-01-15	0.19274952
2023-02-15	0.2200305
2023-03-15	0.64311016
2023-04-15	0.7912929
2023-05-15	1.0625144
2023-06-15	1.3782768
2023-07-15	1.3433989
2023-08-15	1.2141426
2023-09-15	1.1967708
2023-10-15	1.0157038
2023-11-15	0.9382772
2023-12-15	1.1004779
2024-01-15	1.3363626
2024-02-15	1.5589775
2024-03-15	1.3707811
2024-04-15	1.2939613
2024-05-15	1.3672676
2024-06-15	1.1928965
2024-07-15	0.8914357
2024-08-15	0.75645614
2024-09-15	0.72209823
2024-10-15	0.62632483
2024-11-15	0.75320107
2024-12-15	0.73671454
2025-01-15	0.7242672
2025-02-15	0.38617104
2025-03-15	0.13262007
2025-04-15	0.05527848
2025-05-15	0.14891751
